15 15 150 20
S 0 0 -1 0 0 F1 0 S4 0 0 0 S1 0 G
0 -1 0 0 0 -1 0 -1 0 0 0 0 -1 0 0
0 -1 0 -1 0 0 0 0 0 0 -1 0 0 0 0
0 0 0 -1 0 -1 -1 -1 0 0 0 0 -1 0 0
0 -1 0 0 0 0 0 -1 0 G4 -1 0 0 0 0
0 -1 0 -1 -1 -1 0 0 0 -1 0 0 -1 0 0
0 F1 0 S5 0 -1 0 -1 0 0 0 0 0 0 0
0 0 -1 -1 0 0 0 0 0 -1 0 -1 -1 0 0
G1 -1 0 0 0 -1 0 -1 0 0 0 0 0 0 S3
0 0 0 -1 0 0 0 0 -1 0 -1 0 -1 0 0
0 -1 0 0 0 -1 0 0 0 0 G3 0 0 0 0
0 0 0 0 -1 0 0 -1 0 0 -1 0 -1 0 0
0 -1 -1 0 0 0 -1 0 0 -1 0 0 0 0 0
S2 0 0 -1 0 0 0 0 -1 0 0 -1 0 F1 0
0 0 -1 0 0 -1 0 G5 0 0 G2 0 0 0 0
